City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Lamu,KE,77.22,scattered clouds,-2.27,40.9,Lamu House
4,Maumere,ID,78.51,overcast clouds,-8.62,122.21,Sylvia Hotel
8,Ardakan,IR,88.77,clear sky,32.31,54.02,Ardakan Hotel
10,Port Hawkesbury,CA,73.9,clear sky,45.62,-61.35,MacKenzie House Tourist Home B&B
14,Bengkulu,ID,75.51,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
15,Namatanai,PG,77.88,clear sky,-3.67,152.43,Seagulls Inn Namatani
19,Puerto Escondido,MX,86.45,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
20,Amapa,BR,80.62,moderate rain,1.0,-52.0,
22,Kabo,CF,73.11,overcast clouds,7.7,18.63,
25,Kapaa,US,79.48,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
26,Georgetown,MY,79.9,scattered clouds,5.41,100.34,Cititel Penang
27,Puntarenas,CR,84.9,overcast clouds,9.98,-84.84,Michael's Surfside Hotel
29,Kavieng,PG,81.37,broken clouds,-2.57,150.8,Nusa Island Retreat
31,Manadhoo,MV,82.06,overcast clouds,5.77,73.38,Bon Abri maldives
35,Rikitea,PF,73.35,clear sky,-23.12,-134.97,People ThankYou
38,Hilo,US,82.26,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
40,Luanda,AO,70.57,overcast clouds,-8.84,13.23,EPIC SANA Luanda
44,Arraial Do Cabo,BR,75.16,scattered clouds,-22.97,-42.03,Pousada Porto Praia
47,Yellowknife,CA,70.32,scattered clouds,62.46,-114.35,The Explorer Hotel
50,Hithadhoo,MV,82.81,overcast clouds,-0.6,73.08,Scoop Guest House
55,Hobyo,SO,79.36,overcast clouds,5.35,48.53,Iftin hotel hobyo
56,Thompson,CA,73.56,broken clouds,55.74,-97.86,Burntwood Hotel
57,Maceio,BR,81.84,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara
58,Kieta,PG,78.17,light rain,-6.22,155.63,Uruna Bay Retreat
62,Victoria,HK,84.38,overcast clouds,22.29,114.16,Mini Central
63,Moberly,US,87.42,broken clouds,39.42,-92.44,Super 8 by Wyndham Moberly MO
67,Portobelo,PA,83.1,overcast clouds,9.55,-79.65,Scuba Portobelo
74,Elizabethtown,US,80.02,clear sky,37.69,-85.86,"Motel 6 Elizabethtown, KY"
78,Mwene-Ditu,CD,71.82,clear sky,-7.0,23.45,African'zuri
79,Biak,ID,75.7,overcast clouds,-0.91,122.88,Penginapan Kim
81,Martapura,ID,73.49,scattered clouds,-3.42,114.85,Montana Hotel Syariah
84,Avarua,CK,75.25,broken clouds,-21.21,-159.78,Paradise Inn
90,Sola,VU,74.07,overcast clouds,-13.88,167.55,Ulkel Guest House
95,Kerema,PG,78.26,heavy intensity rain,-7.96,145.78,Frena Lodge
96,Atuona,PF,77.76,scattered clouds,-9.8,-139.03,Villa Enata
