City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,59.18,70,86,20.4,overcast clouds
1,Cape Town,ZA,-33.93,18.42,57.88,81,40,5.75,light rain
2,Vaini,TO,-21.20,-175.20,75.36,100,75,9.22,broken clouds
3,Lamu,KE,-2.27,40.90,77.22,76,45,16.75,scattered clouds
4,Maumere,ID,-8.62,122.21,78.51,80,100,6.78,overcast clouds
5,Chumikan,RU,54.72,135.31,38.84,100,100,1.88,light rain
6,Port-Cartier,CA,50.03,-66.87,55.62,67,100,18.19,overcast clouds
7,Bluff,NZ,-46.60,168.33,45.81,83,100,12.41,overcast clouds
8,Ardakan,IR,32.31,54.02,88.77,14,0,2.08,clear sky
9,Castro,BR,-24.79,-50.01,59.11,57,0,3.96,clear sky
10,Port Hawkesbury,CA,45.62,-61.35,73.9,80,0,11.5,clear sky
11,New Norfolk,AU,-42.78,147.06,47.91,87,97,1.21,overcast clouds
12,Hualmay,PE,-11.10,-77.61,67.03,65,6,13.51,clear sky
13,Richards Bay,ZA,-28.78,32.04,65.23,65,0,12.5,clear sky
14,Bengkulu,ID,-3.80,102.27,75.51,90,63,3.09,broken clouds
15,Namatanai,PG,-3.67,152.43,77.88,81,10,5.06,clear sky
16,Mataura,NZ,-46.19,168.86,45.48,97,100,4.0,overcast clouds
17,Khonsa,IN,27.02,95.57,66.96,99,100,1.95,overcast clouds
18,Tasiilaq,GL,65.61,-37.64,46.56,86,84,5.03,broken clouds
19,Puerto Escondido,MX,15.85,-97.07,86.45,63,100,8.79,overcast clouds
20,Amapa,BR,1.00,-52.00,80.62,86,11,4.83,moderate rain
21,Hermanus,ZA,-34.42,19.23,50.81,77,5,14.61,light rain
22,Kabo,CF,7.70,18.63,73.11,80,100,3.42,overcast clouds
23,Port Alfred,ZA,-33.59,26.89,62.06,72,100,13.27,overcast clouds
