City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,2022-06-13 17:48:51,60.9167,-46.05,50.22,43,2,4.88
1,Sarangani,PH,2022-06-13 17:48:51,5.4033,125.4636,83.39,69,98,2.62
2,Adrar,MR,2022-06-13 17:48:52,20.5022,-10.0711,101.95,15,36,6.24
3,Hokitika,NZ,2022-06-13 17:48:54,-42.7167,170.9667,51.82,77,87,27.25
4,Guerrero Negro,MX,2022-06-13 17:46:38,27.9769,-114.0611,70.68,64,53,15.01
5,Merrill,US,2022-06-13 17:47:32,45.1805,-89.6835,62.37,85,100,4.0
6,Jamestown,US,2022-06-13 17:48:54,42.097,-79.2353,80.53,10,34,6.2
7,Rikitea,PF,2022-06-13 17:44:18,-23.1203,-134.9692,73.18,65,18,10.76
8,Fare,PF,2022-06-13 17:48:55,-16.7,-151.0167,79.38,68,37,20.4
9,Aklavik,CA,2022-06-13 17:48:55,68.2191,-135.0107,48.92,54,97,7.38
10,Hobyo,SO,2022-06-13 17:48:56,5.3505,48.5268,79.52,77,47,27.81
11,Isangel,VU,2022-06-13 17:48:57,-19.55,169.2667,75.87,89,98,6.24
12,Asau,RO,2022-06-13 17:48:57,46.4333,26.4,72.28,83,28,2.62
13,Loukhi,RU,2022-06-13 17:48:57,66.0764,33.0381,60.53,67,86,1.5
14,Saint-Georges,GD,2022-06-13 17:48:59,12.0564,-61.7485,80.28,83,75,28.77
15,Upernavik,GL,2022-06-13 17:48:59,72.7868,-56.1549,31.53,80,98,6.24
16,Lompoc,US,2022-06-13 17:49:00,34.6391,-120.4579,76.84,67,0,20.0
17,Busselton,AU,2022-06-13 17:49:01,-33.65,115.3333,58.89,74,95,8.68
18,Ponta Do Sol,PT,2022-06-13 17:49:01,32.6667,-17.1,72.12,67,35,4.72
19,New Norfolk,AU,2022-06-13 17:49:02,-42.7826,147.0587,42.3,87,69,3.09
20,Mataura,NZ,2022-06-13 17:49:02,-46.1927,168.8643,43.48,95,99,13.42
21,Kefalos,GR,2022-06-13 17:49:02,36.7453,26.9589,77.22,61,20,11.5
22,Xiangxiang,CN,2022-06-13 17:49:03,27.7333,112.5333,68.68,96,100,2.48
23,Ribeira Grande,PT,2022-06-13 17:49:03,38.5167,-28.7,68.4,68,20,16.11
24,Beyneu,KZ,2022-06-13 17:49:04,45.3167,55.2,82.42,26,45,17.58
25,Udimskiy,RU,2022-06-13 17:49:04,61.1417,45.9144,56.3,73,98,3.91
26,Pasighat,IN,2022-06-13 17:49:05,28.0667,95.3333,74.79,95,96,2.26
27,Zhigansk,RU,2022-06-13 17:49:05,66.7697,123.3711,46.11,92,11,1.88
28,Hilo,US,2022-06-13 17:49:06,19.7297,-155.09,84.27,80,75,6.91
29,Saint George,US,2022-06-13 17:49:06,37.1041,-113.5841,89.8,23,0,17.27
30,Salinas,US,2022-06-13 17:49:07,36.6777,-121.6555,73.99,60,0,10.36
31,Mapastepec,MX,2022-06-13 17:49:07,15.4333,-92.9,85.42,72,97,6.08
32,Vaini,TO,2022-06-13 17:49:09,-21.2,-175.2,73.56,100,20,4.61
33,Avarua,CK,2022-06-13 17:49:09,-21.2078,-159.775,68.05,94,20,1.14
34,Hambantota,LK,2022-06-13 17:49:10,6.1241,81.1185,80.1,82,46,16.42
35,Atuona,PF,2022-06-13 17:49:10,-9.8,-139.0333,78.08,66,62,19.15
36,Severo-Kurilsk,RU,2022-06-13 17:49:12,50.6789,156.125,43.45,93,91,12.1
37,Provideniya,RU,2022-06-13 17:49:12,64.3833,-173.3,36.84,82,98,2.53
38,Hermanus,ZA,2022-06-13 17:49:14,-34.4187,19.2345,52.81,89,100,10.27
39,Saint-Pierre,RE,2022-06-13 17:49:14,-21.3393,55.4781,71.91,83,0,6.91
40,Akhmim,EG,2022-06-13 17:49:15,26.5622,31.745,93.4,22,0,10.36
41,Tiksi,RU,2022-06-13 17:49:15,71.6872,128.8694,44.24,69,100,1.86
42,Newport,GB,2022-06-13 17:46:43,51.5877,-2.9984,68.11,58,100,8.37
43,Cape Town,ZA,2022-06-13 17:47:24,-33.9258,18.4232,55.11,93,100,5.99
44,Mauguio,FR,2022-06-13 17:49:16,43.6181,4.0074,86.94,48,29,12.66
45,Chuy,UY,2022-06-13 17:49:16,-33.6971,-53.4616,60.76,66,6,4.88
46,Hobart,AU,2022-06-13 17:46:26,-42.8794,147.3294,42.66,89,66,8.05
47,Vostok,RU,2022-06-13 17:50:17,46.4856,135.8833,47.88,83,24,3.98
48,Leningradskiy,RU,2022-06-13 17:50:19,69.3833,178.4167,33.21,86,100,9.69
49,Ugoofaaru,MV,2022-06-13 17:50:19,5.6667,73.0,83.41,75,44,9.44
50,Castro,BR,2022-06-13 17:50:21,-24.7911,-50.0119,59.7,52,0,4.45
51,Flin Flon,CA,2022-06-13 17:50:22,54.7682,-101.865,64.24,63,75,8.05
52,Cabra,ES,2022-06-13 17:50:23,37.4725,-4.4421,101.66,16,48,10.51
53,Mpika,ZM,2022-06-13 17:50:23,-11.8343,31.4529,52.3,71,7,3.94
